example_id                                                             | status | run_time        |
./spec/features/spree/wishlist_spec.rb[1:2:1:1]                        | passed | 7.1 seconds     |
./spec/features/spree/wishlist_spec.rb[1:2:1:2:1]                      | passed | 10.07 seconds   |
./spec/features/spree/wishlist_spec.rb[1:2:1:2:2]                      | passed | 9.24 seconds    |
./spec/features/spree/wishlist_spec.rb[1:2:1:3:1]                      | passed | 6.63 seconds    |
./spec/features/spree/wishlist_spec.rb[1:2:1:3:2]                      | passed | 5.98 seconds    |
./spec/features/spree/wishlist_spec.rb[1:2:2:1]                        | passed | 6.15 seconds    |
./spec/lib/wishlist_ability_spec.rb[1:1:1:1:1:1]                       | passed | 0.05219 seconds |
./spec/lib/wishlist_ability_spec.rb[1:1:1:1:1:2]                       | passed | 0.0237 seconds  |
./spec/lib/wishlist_ability_spec.rb[1:1:1:1:1:3]                       | passed | 0.02119 seconds |
./spec/lib/wishlist_ability_spec.rb[1:1:1:1:1:4]                       | passed | 0.0195 seconds  |
./spec/lib/wishlist_ability_spec.rb[1:1:1:2:1:1]                       | passed | 0.01734 seconds |
./spec/lib/wishlist_ability_spec.rb[1:1:1:2:1:2]                       | passed | 0.01603 seconds |
./spec/lib/wishlist_ability_spec.rb[1:1:1:2:1:3]                       | passed | 0.01821 seconds |
./spec/lib/wishlist_ability_spec.rb[1:1:1:2:2:1]                       | passed | 0.01488 seconds |
./spec/lib/wishlist_ability_spec.rb[1:1:2:1:1:1]                       | passed | 0.01626 seconds |
./spec/lib/wishlist_ability_spec.rb[1:1:2:1:1:2]                       | passed | 0.01919 seconds |
./spec/lib/wishlist_ability_spec.rb[1:1:2:1:1:3]                       | passed | 0.01671 seconds |
./spec/lib/wishlist_ability_spec.rb[1:1:2:1:1:4]                       | passed | 0.01673 seconds |
./spec/lib/wishlist_ability_spec.rb[1:1:2:2:1:1]                       | passed | 0.01788 seconds |
./spec/lib/wishlist_ability_spec.rb[1:1:2:2:1:2]                       | passed | 0.01484 seconds |
./spec/lib/wishlist_ability_spec.rb[1:1:2:2:1:3]                       | passed | 0.01692 seconds |
./spec/lib/wishlist_ability_spec.rb[1:1:2:2:1:4]                       | passed | 0.01491 seconds |
./spec/lib/wishlist_ability_spec.rb[1:2:1:1:1]                         | passed | 0.22046 seconds |
./spec/lib/wishlist_ability_spec.rb[1:2:1:1:2]                         | passed | 0.25137 seconds |
./spec/lib/wishlist_ability_spec.rb[1:2:1:1:3]                         | passed | 0.26623 seconds |
./spec/lib/wishlist_ability_spec.rb[1:2:1:1:4]                         | passed | 0.31318 seconds |
./spec/lib/wishlist_ability_spec.rb[1:2:2:1:1]                         | passed | 0.3679 seconds  |
./spec/lib/wishlist_ability_spec.rb[1:2:2:1:2]                         | passed | 0.28714 seconds |
./spec/lib/wishlist_ability_spec.rb[1:2:2:1:3]                         | passed | 0.33954 seconds |
./spec/lib/wishlist_ability_spec.rb[1:2:2:2:1]                         | passed | 0.24429 seconds |
./spec/models/spree/user_decorator_spec.rb[1:1]                        | passed | 0.0029 seconds  |
./spec/models/spree/user_decorator_spec.rb[1:2]                        | passed | 0.0057 seconds  |
./spec/models/spree/wished_product_spec.rb[1:1]                        | passed | 0.00489 seconds |
./spec/models/spree/wished_product_spec.rb[1:2]                        | passed | 0.00248 seconds |
./spec/models/spree/wished_product_spec.rb[1:3]                        | passed | 0.29033 seconds |
./spec/models/spree/wished_product_spec.rb[1:4:1]                      | passed | 0.33404 seconds |
./spec/models/spree/wished_product_spec.rb[1:4:2]                      | passed | 0.22987 seconds |
./spec/models/spree/wishlist_spec.rb[1:1]                              | passed | 0.00154 seconds |
./spec/models/spree/wishlist_spec.rb[1:2]                              | passed | 0.00131 seconds |
./spec/models/spree/wishlist_spec.rb[1:3]                              | passed | 0.00522 seconds |
./spec/models/spree/wishlist_spec.rb[1:4]                              | passed | 0.01694 seconds |
./spec/models/spree/wishlist_spec.rb[1:5:1]                            | passed | 0.26021 seconds |
./spec/models/spree/wishlist_spec.rb[1:6:1]                            | passed | 0.01902 seconds |
./spec/models/spree/wishlist_spec.rb[1:7:1]                            | passed | 0.02823 seconds |
./spec/models/spree/wishlist_spec.rb[1:7:2]                            | passed | 0.00297 seconds |
./spec/models/spree/wishlist_spec.rb[1:8:1:1]                          | passed | 0.01879 seconds |
./spec/models/spree/wishlist_spec.rb[1:8:1:2]                          | passed | 0.0292 seconds  |
./spec/models/spree/wishlist_spec.rb[1:8:2:1]                          | passed | 0.03236 seconds |
./spec/models/spree/wishlist_spec.rb[1:9:1]                            | passed | 0.01698 seconds |
./spec/models/spree/wishlist_spec.rb[1:9:2]                            | passed | 0.0172 seconds  |
./spec/models/spree/wishlist_spec.rb[1:10:1]                           | passed | 0.25607 seconds |
